label, value
entry_id, 98f8476f-489a-4935-9297-427529c9e2cc
epoch, 175
epoch_time, 5735.743962049484
event, eval_completed
hits_at_1, 0.06522928252347525
hits_at_10, 0.15151791412161547
hits_at_100, 0.22723128817576807
hits_at_1000, 0.31543440605342327
hits_at_1000_filtered, 0.31798705442610997
hits_at_100_filtered, 0.2320630868812107
hits_at_10_filtered, 0.15484547360743914
hits_at_1_filtered, 0.06864800802260917
hits_at_200, 0.2510712006563953
hits_at_200_filtered, 0.2564044124350442
hits_at_3, 0.10798614276597684
hits_at_300, 0.2657945118059987
hits_at_300_filtered, 0.27112772358464765
hits_at_3_filtered, 0.11167836630504148
hits_at_400, 0.2749566961436776
hits_at_400_filtered, 0.2802443249156714
hits_at_50, 0.20485003190810466
hits_at_500, 0.2844379615279424
hits_at_500_filtered, 0.2875376059804905
hits_at_50_filtered, 0.2095450815935819
mean_rank, 6760.479168565958
mean_rank_filtered, 6723.0945391558025
mean_reciprocal_rank, 0.09515622907811218
mean_reciprocal_rank_filtered, 0.09857645694685022
mean_reciprocal_rank_filtered_with_test, .nan
num_parameters, 3944192
scope, epoch
size, 10969
split, test
timestamp, 1639508771.6226254
type, entity_ranking

