label, value
entry_id, 930e7479-f32e-4e0b-9764-9677b2e501b2
epoch, 155
epoch_time, 36.204142570495605
event, eval_completed
hits_at_1, 0.012763241863433313
hits_at_10, 0.03692223539064637
hits_at_100, 0.07922326556659677
hits_at_1000, 0.13948400036466405
hits_at_1000_filtered, 0.14066915853769715
hits_at_100_filtered, 0.08113775184611177
hits_at_10_filtered, 0.037104567417266844
hits_at_1_filtered, 0.013127905916674263
hits_at_200, 0.09294375056978758
hits_at_200_filtered, 0.0965903911021971
hits_at_3, 0.020557936001458655
hits_at_300, 0.10151335582094995
hits_at_300_filtered, 0.10538791138663506
hits_at_3_filtered, 0.02087701704804449
hits_at_400, 0.10935363296563042
hits_at_400_filtered, 0.11313702251800528
hits_at_50, 0.06604977664326739
hits_at_500, 0.11550733886407147
hits_at_500_filtered, 0.11938189442975658
hits_at_50_filtered, 0.0665511897164737
mean_rank, 14167.605433494393
mean_rank_filtered, 14130.46512899991
mean_reciprocal_rank, 0.02073137622575554
mean_reciprocal_rank_filtered, 0.021057343133026884
mean_reciprocal_rank_filtered_with_test, .nan
num_parameters, 3944192
scope, epoch
size, 10969
split, test
timestamp, 1639501437.4816513
type, entity_ranking

